team_name,player_id,player_name,Score_Posesion_25,Score_Progresion_25,Score_Territoriales_25,Score_Contencion_25,Score_Overall_25,Score_Posesion_26,Score_Progresion_26,Score_Territoriales_26,Score_Contencion_26,Score_Overall_26,Overall_Score_Final,Cost_Share
Toluca,5575,Héctor Miguel Herrera López,66.74876847290642,83.65111561866127,81.88793103448276,84.04469094124266,79.0634477506942,,,,,,79.0634477506942,0.023
Club América,47467,Álvaro Fidalgo Fernández,71.18226600985221,93.94861392832996,36.14655172413793,25.534522948316052,60.123693201659734,69.43521594684385,97.39252995066948,72.3953488372093,62.134764460345856,77.10235307328331,73.70662109895859,0.007
Cruz Azul,34347,Ángel Jeremy Márquez Castañeda,,,,,,53.48837209302326,77.60394644115574,74.88372093023256,77.60882528324389,70.89597224480946,70.89597224480946,0.014
Necaxa,28815,Agustín Palavecino,54.187192118226605,89.68221771467209,69.42241379310344,61.91825415963346,70.19071762416084,,,,,,70.19071762416084,0.094
Querétaro,5563,José Andrés Guardado Hernández,61.82266009852218,77.83637592968222,64.25,55.11011976529218,65.89110175659364,,,,,,65.89110175659364,0.015
Guadalajara,15872,Érick Gabriel Gutiérrez Galaviz,,,,,,69.1029900332226,80.95842142353771,61.97674418604651,41.19329012581014,65.29611800704062,65.29611800704062,0.023
Puebla,37640,Alejandro Organista Orozco,,,,,,51.162790697674424,77.57575757575758,56.79069767441861,70.21466905187836,64.3040331761262,64.3040331761262,0.02
Tijuana,24064,Joe Benny Corona Crespín,54.43349753694582,55.24002704530088,73.25,73.76617635238324,63.24611776830336,,,,,,63.24611776830336,0.015
Cruz Azul,26297,Carlos Alberto Rodríguez Gómez,83.74384236453203,93.40094658553078,41.491379310344826,23.27988103850173,63.98506560207879,70.76411960132891,97.2093023255814,46.697674418604656,20.274299344066787,62.583099071471175,62.8634923775927,0.038
Toluca,386196,Víctor Manuel Arteaga Camarena,36.94581280788178,58.76943881000677,81.76724137931035,74.45141065830721,62.199377321461505,,,,,,62.199377321461505,0.002
Pachuca,399874,Elías Enrique Montiel Ávalos,38.423645320197046,86.87626774847871,72.59482758620689,64.68129571577848,66.75375769430029,56.146179401993365,72.38900634249472,47.09302325581396,60.494931425163976,59.62548885223304,61.05114262064649,0.013
León,234320,Nicolas Fonseca,64.53201970443351,50.23664638269101,60.560344827586206,51.219757254240015,56.58803649866023,63.12292358803988,54.48907681465822,70.83720930232558,56.94692903995229,61.226142074979286,60.298520959715475,0.058
Toluca,26329,Marcel Alejandro Ruiz Suárez,54.187192118226605,65.78093306288032,37.68103448275862,53.653645205369344,53.43206561018427,53.156146179402,81.71952078928824,57.23255813953488,49.31425163983304,61.9758826444873,60.267119237626694,0.016
Club América,6357,Jonathan dos Santos Ramírez,59.85221674876848,59.29682217714672,62.99137931034483,57.232135680411545,59.94637280400465,,,,,,59.94637280400465,0.036
Tigres UANL,27904,Fernando Gorriarán Fontes,48.52216748768474,76.78837052062207,44.71551724137931,52.081826219757254,56.76229758240408,55.14950166112958,59.42212825933756,55.372093023255815,74.89564698867025,60.43616654663166,59.701392753786145,0.062
Tigres UANL,29586,Juan Francisco Brunetta,,,,,,64.78405315614619,93.99577167019028,41.0,22.417079679756004,59.128160726044825,59.128160726044825,0.022
Cruz Azul,28894,Lorenzo Abel Faravelli,,,,,,48.17275747508306,74.16490486257929,70.86046511627906,34.25760286225402,58.859297679065115,58.859297679065115,0.013
Club América,29265,Alan Jhosué Cervantes Martín del Campo,62.56157635467981,31.60243407707911,58.2844827586207,53.36387750180854,50.36502050181057,54.81727574750832,65.69767441860465,67.81395348837209,44.52916507815478,59.27294265018246,57.49135822050808,0.07
Club América,31956,Richard Rafael Sánchez Guerrero,57.14285714285714,86.65990534144693,35.956896551724135,40.67599067599068,57.40810816127753,,,,,,57.40810816127753,0.088
Tijuana,275687,Iván Oswaldo Tona Olmeda,29.31034482758621,85.41582150101421,61.69827586206897,24.05353267422233,53.187608157562515,66.77740863787376,42.988019732205785,60.51162790697674,64.22182468694096,57.56302999326255,56.68794562612254,0.013
Pumas UNAM,183000,Santiago Trigos Nava,62.5615763546798,44.3475321162948,72.62931034482759,51.55132224097741,57.41224575796077,69.43521594684385,39.224806201550386,53.93023255813954,62.2242098986285,55.05364596643667,55.525365924741486,0.006
Atlético San Luis,26774,Rodrigo Dourado Cunha,63.054187192118235,29.844489519945913,38.387931034482754,57.232135680411545,45.76030354871634,45.182724252491695,34.03805496828753,76.18604651162791,83.94967594357607,57.343544370231385,55.02689620592838,0.031
Toluca,28529,Fernando David Arce Juárez,60.344827586206904,22.83975659229209,63.956896551724135,83.95627361144602,54.7186127344596,,,,,,54.7186127344596,0.022
Pumas UNAM,29078,José Luis Caicedo Barrera,49.26108374384237,40.31778228532792,36.991379310344826,49.18696246282453,43.49584294171009,79.06976744186048,57.92811839323467,45.372093023255815,44.57364341085271,57.403629316420016,54.622072041478035,0.024
Juárez,34522,Homer Enrique Martínez Yepez,,,,,,28.23920265780731,43.6046511627907,63.09302325581396,89.97465712581993,53.90938325240651,53.90938325240651,0.043
Atlético San Luis,45685,Sébastien Antoine Luc Salles Lamonge,,,,,,67.10963455149502,74.6863988724454,39.395348837209305,24.0608228980322,53.84433008851613,53.84433008851613,0.032
